genotype!,yield,heading
dh001,7.232,200
dh002,6.326,193
dh003,6.533,197
dh004,7.469,200.5
dh005,5.997,191
dh006,6.525,203.5
dh007,6.564,204.5
dh008,7.03,193.5
dh009,8.432,203
dh010,7.287,202.5
dh011,7.701,194.5
dh012,6.842,198
dh013,5.735,192.5
dh014,8.491,204
dh015,6.474,197
dh016,7.289,199
dh017,5.984,201
dh018,7.111,188
dh019,8.048,200
dh020,5.956,202
dh021,6.046,189.5
dh022,6.084,192
dh023,8.435,200.5
dh024,6.413,202
dh025,6.089,201
dh026,7.898,200.5
dh027,6.781,199.5
dh028,6.612,192
dh029,6.391,197.5
dh030,5.821,188.5
dh031,6.283,201
dh032,7.987,199
dh033,7.473,202
dh034,6.728,196
dh035,5.676,187.5
dh036,5.59,192
dh037,6.2,187.5
dh038,5.87,188.5
dh039,8.052,201.5
dh040,6.686,197.5
dh041,7.477,201.5
dh042,6.348,199.5
dh043,6.77,199
dh044,8.002,203
dh045,6.983,194.5
dh046,7.381,197
dh047,6.943,192
dh048,5.671,186
dh049,7.103,202.5
dh050,7.225,198
dh051,7.141,196
dh052,6.715,193.5
dh053,6.819,189
dh054,5.612,189.5
dh055,7.087,199
dh056,6.924,195
dh057,8.096,202.5
dh058,7.841,199.5
dh059,7.257,203.5
dh060,6.882,194.5
dh061,7.18,197
dh062,6.493,203
dh063,6.672,196
dh064,7.92,191
dh065,7.82,205
dh066,6.441,192
dh067,6.76,199.5
dh068,6.245,194.5
dh069,7.185,201
dh070,8.163,201
dh071,6.908,196.5
dh072,6.594,190.5
dh073,6.659,189.5
dh074,7.022,196
dh075,5.711,198.5
dh076,4.902,205.5
dh077,7.473,197
dh078,7.381,201.5
dh079,6.933,202
dh080,6.369,188
dh081,5.931,193.5
dh082,7.936,194.5
dh083,7.727,193.5
dh084,6.709,202.5
dh085,7.374,203
dh086,6.943,194
dh087,7.51,197.5
dh088,7.452,196.5
dh089,6.536,190
dh090,7.513,199.5
dh091,7.323,202.5
dh092,6.905,194.5
dh093,7.306,199
dh094,6.454,191.5
dh095,7.302,199
dh096,6.207,203.5
dh097,5.959,189
dh098,7.235,198.5
dh099,7.088,196.5
dh100,8.301,200.5
dh101,6.146,189
dh102,7.81,205
dh103,7.39,203.5
dh104,7.169,197.5
dh105,7.348,199
dh106,6.281,187.5
dh107,7.085,194
dh108,7.39,205
dh109,6.231,190.5
dh110,6.968,190.5
dh111,7.471,196
dh112,5.588,191
dh113,7.38,198.5
dh114,7.287,197
dh115,6.731,192
dh116,7.003,196.5
dh117,7.001,196
dh118,7.539,197
dh119,6.675,191
dh120,6.846,196.5
dh121,7.411,200
dh122,6.751,191.5
dh123,7.117,194
dh124,6.46,194.5
dh125,7.124,203.5
dh126,6.788,190.5
dh127,6.994,195.5
dh128,7.53,195.5
dh129,7.329,204
dh130,6.798,200
dh131,5.82,188.5
dh132,7.798,197
dh133,7.554,199
dh134,6.723,192
dh135,6.806,195
dh136,7.363,202
dh137,5.477,188.5
dh138,6.391,195
dh139,5.833,188
dh140,7.868,194.5
dh141,7.189,190
dh142,6.017,192
dh143,8.02,198
dh144,7.53,193.5
dh145,6.923,202.5
dh146,6.788,201
dh147,6.592,193
dh148,6.895,204
dh149,6.408,194.5
dh150,7.005,192
